elo_rank,team,elo_rating,date
1,Argentina,2138.17,2026-06-27
2,Spain,2119.62,2026-07-02
3,France,2076.06,2026-06-30
4,Brazil,2044.95,2026-06-29
5,Portugal,2022.84,2026-07-02
6,Colombia,2015.15,2026-06-27
7,England,2007.66,2026-07-01
8,Netherlands,1978.1,2026-06-29
9,Germany,1972.23,2026-06-29
10,Morocco,1956.54,2026-06-29
11,Mexico,1954.81,2026-06-30
12,Belgium,1953.05,2026-07-01
13,Japan,1945.12,2026-06-29
14,Switzerland,1930.3,2026-07-02
15,Ecuador,1924.92,2026-06-30
16,Italy,1923.48,2026-06-07
17,Croatia,1917.22,2026-07-02
18,Norway,1916.26,2026-06-30
19,Denmark,1898.44,2026-06-07
20,Uruguay,1885.41,2026-06-26
21,Turkey,1883.35,2026-06-25
22,Austria,1870.5,2026-07-02
23,Algeria,1862.2,2026-07-02
24,Iran,1858.24,2026-06-26
25,Paraguay,1849.31,2026-06-29
26,Canada,1844.02,2026-06-28
27,Australia,1841.67,2026-06-25
28,Senegal,1840.77,2026-07-01
29,United States,1836.03,2026-07-01
30,Ukraine,1822.17,2026-06-07
31,Russia,1821.5,2026-06-09
32,Basque Country,1820.5,2025-11-15
33,South Korea,1816.35,2026-06-24
34,Ivory Coast,1807.44,2026-06-30
35,Egypt,1801.35,2026-06-26
36,Nigeria,1796.87,2026-06-10
37,Yugoslavia,1792.04,1992-03-25
38,Chile,1791.43,2026-06-09
39,Venezuela,1784.22,2026-06-09
40,Jersey,1783.15,2025-07-18
41,Sweden,1779.14,2026-06-30
42,Scotland,1772.48,2026-06-24
43,Poland,1772.27,2026-06-03
44,Serbia,1772.17,2026-06-04
45,Hungary,1769.24,2026-06-09
46,Greece,1767.65,2026-06-07
47,Czech Republic,1762.8,2026-06-24
48,Czechoslovakia,1762.55,1993-11-17
49,Peru,1738.92,2026-06-08
50,German DR,1738.1,1990-09-12
51,Slovenia,1736.6,2026-06-07
52,Republic of Ireland,1735.53,2026-06-05
53,Uzbekistan,1732.91,2026-06-27
54,Panama,1729.15,2026-06-27
55,Guernsey,1723.59,2023-07-13
56,DR Congo,1720.2,2026-07-01
57,Kosovo,1716.48,2026-06-07
58,Wales,1713.61,2026-06-06
59,Slovakia,1703.76,2026-06-05
60,Catalonia,1698.93,2019-03-25
61,Isle of Man,1692.54,2025-07-18
62,Jordan,1692.08,2026-06-27
63,Occitania,1691.27,2014-12-30
64,Georgia,1691.13,2026-06-05
65,Mali,1685.21,2026-06-04
66,Costa Rica,1684.79,2026-06-10
67,Cameroon,1684.62,2026-03-31
68,Romania,1683.08,2026-06-06
69,Tunisia,1682.88,2026-06-25
70,Iraq,1681.16,2026-06-26
71,Israel,1679.12,2026-06-03
72,Saudi Arabia,1672.16,2026-06-26
73,Padania,1670.57,2019-06-08
74,Northern Cyprus,1666.56,2018-06-09
75,Cape Verde,1660.04,2026-06-26
76,New Zealand,1659.71,2026-06-26
77,South Africa,1657.42,2026-06-28
78,Honduras,1652.04,2026-06-06
79,Bolivia,1651.58,2026-06-10
80,Bosnia and Herzegovina,1651.05,2026-07-01
81,Isle of Wight,1648.04,2023-07-13
82,Northern Ireland,1647.83,2026-06-08
83,Ynys Môn,1647.45,2025-07-17
84,United Arab Emirates,1645.91,2025-12-15
85,Burkina Faso,1640.01,2026-06-09
86,Haiti,1637.09,2026-06-24
87,Ghana,1633.5,2026-06-27
88,Iraqi Kurdistan,1633.12,2016-06-04
89,Albania,1631.48,2026-06-06
90,Jamaica,1630.86,2026-06-06
91,Iceland,1627.67,2026-06-09
92,Andalusia,1621.95,2013-06-07
93,Kernow,1621.35,2023-07-16
94,Abkhazia,1617.62,2019-06-08
95,North Macedonia,1614.75,2026-06-01
96,Finland,1598.85,2026-06-05
97,Belarus,1592.83,2026-06-09
98,Guatemala,1587.62,2026-06-07
99,Kárpátalja,1583.41,2018-06-09
100,Réunion,1580.33,2023-09-02
101,County of Nice,1580.0,2015-06-21
102,Rhodes,1579.14,2011-06-27
103,Angola,1576.95,2026-06-09
104,Panjab,1575.52,2019-12-29
105,New Caledonia,1575.07,2026-03-26
106,Oman,1574.12,2026-06-05
107,Ellan Vannin,1573.01,2018-06-03
108,Yorkshire,1571.81,2019-06-01
109,Corsica,1566.78,2017-05-26
110,Tamil Eelam,1566.0,2025-07-04
111,Kurdistan,1562.46,2013-06-28
112,Suriname,1561.84,2026-03-26
113,Artsakh,1558.89,2019-06-08
114,Curaçao,1553.96,2026-06-25
115,Syria,1552.94,2026-06-05
116,Montenegro,1552.59,2026-06-05
117,Menorca,1551.77,2023-07-13
118,Guinea,1549.94,2026-06-04
119,China,1549.27,2026-06-09
120,Palestine,1548.26,2026-06-09
121,Cascadia,1548.25,2019-05-25
122,Qatar,1547.89,2026-06-24
123,Arameans Suryoye,1544.32,2014-06-08
124,Bulgaria,1541.89,2026-06-05
125,Libya,1540.25,2026-03-31
126,Galicia,1539.6,2024-05-21
127,Chameria,1537.81,2023-07-01
128,Thailand,1537.45,2026-06-09
129,Zambia,1532.73,2026-03-31
130,Maule Sur,1528.61,2022-06-19
131,Quebec,1528.6,2013-06-27
132,Zanzibar,1526.15,2025-01-13
133,Bahrain,1522.59,2026-06-05
134,Canary Islands,1522.55,2007-12-29
135,Gabon,1522.44,2026-03-30
136,Asturias,1521.12,1923-02-25
137,Parishes of Jersey,1519.62,2019-06-02
138,Elba Island,1519.55,2022-07-16
139,Donetsk PR,1516.42,2017-08-31
140,Surrey,1516.24,2018-05-06
141,Silesia,1516.14,2006-12-09
142,Benin,1515.41,2026-06-09
143,United Koreans in Japan,1515.23,2018-06-09
144,Western Armenia,1514.97,2019-06-09
145,Gambia,1514.89,2026-05-29
146,Biafra,1514.83,2022-05-25
147,Tahiti,1513.88,2025-03-21
148,Malaysia,1510.65,2025-11-18
149,Trinidad and Tobago,1509.47,2026-06-09
150,Brittany,1509.18,2013-05-28
151,Guadeloupe,1506.73,2025-06-24
152,Felvidék,1503.69,2017-06-09
153,Togo,1503.64,2026-06-09
154,Crimea,1502.6,2006-11-25
155,Mapuche,1502.19,2022-06-18
156,Uganda,1501.93,2025-12-30
157,Indonesia,1501.77,2026-06-09
158,Shetland,1501.35,2025-07-17
159,Sealand,1500.36,2014-08-10
160,Vietnam,1499.21,2026-03-26
